單詞,發音,釋義,例句,標籤,地點,備註
打幫,da bu,勸說、勸告,,,,
打誤,da u,耽誤,,,,
打閃,da shie,閃電,,,,
冬凌,dueng1 lia0,冰,,,,
冷雨,lia1 y,冰雹,,,,
稻黍,tau su,高梁,,,,
大田,doa tie,糜谷及高梁玉米等高桿農作物，區別於豆類等低桿作物,,,,
燈樹,deng su,點油燈時用的燈座,,,,
燈盞,deng zae,點油燈時放置在盛油器具的下方，和燈樹隔開，以防往下流油,,,,
燈樓,deng lew,燈籠,,"名詞,",,上川爲 deng ler
跌,dieq5,掉,～了孩哩。,"動詞,",,
跌怪,dieq guai,說怪話,,,,
跌冷,dieq lia,諷刺,,"動詞,",,
搗拉,dau laq,拉話閒談,,,,
屌,diew,男人生殖器，動物雄性生殖器也稱此名,,,,
抵,di,牛羊用角頂人或動物,,,,
叮呾,ding dae,指說人不愛聽的話，含貶義,,"動詞,",,
地根,di geng,以前，原先,,,,
叮叮呾呾,ding ding dae dae,無休止的指責數落,,,,
厾,dueq5,用手指或物件指點或觸動,,,,
厾打,dueq da,意同厾，程度較輕,,,,
㞘,dueq,屁股,,,,
厾點,dueq die,除有厾的含義外，還有指點的意思,,,,
打摭,da3 zheq,打掃、收拾，結束,,,,
垛沓,du4 taq,結束、完工，準備,明兒要親親家上格嘞，先～要荷東西。,,,
當糠,doa1 koa,麻疹，用「糠」來形容麻疹時身上起疹子的樣子，那種不規則的顆粒物很像米糠、麥糠的狀態,,,,
當差,doa1 cai,出天花,,,,
當麻子,doa ma zeq,感染猩紅熱病,,,,
簟,die,蘆葦做的落子,,,,
斷,duo,攆，驅趕,,,,
打瞭,da3 liau4,探望、照料,,,,
搗打,dau3 da,敲打、和人相處共事,乃家～不成。,,,
得料,deq5 liau4,回頭，折返,,,,
擔,dae4,拖欠,老闆還擔～二個月的工資。,,,
擔隔,dae4 jiaq5,耽擱、拖延,乃喫飯就～了一個小時。,,,
逮,dai3,獲取利益,今天逮住哩/教乃猛逮哩。,,,
單,dae1,只，副詞,～留下你一個人。,,,
打圈,da jye,山羊交配,,,,
打夥計,da hu ji,男女不正當的交往,,,,
打光棍,da gu gueng,成年男人單身獨處,,,,
肚子,dueq3 zeq5,胃，引申爲飯食,快獻你的～。,,,
肚子,dueq3 zeq5,排泄物,淨你的～。,,,
單麻,dae1 ma2,瘦弱,,,,
端柳四正,duo liu si zhei,人身材端正、姿態出衆,,,,
雕紅抹黑,diau hueng mu heq,胡亂塗抹，弄得很髒,,,,
單眉細眼,dae mj sei nie,面貌清秀,,,,
打劃,da hua,心中盤算,,,,
丟筋八卦,diew jing baq gua,形容人性怪癖，動不動就生氣,,,,
賭博料垮,du beq liau kua,形容人經常賭博、不誤正業,,,,
跌瘸柳拐,,形容人腿部毛病，走路一瘸一拐,,,,
得林瀾淡,deq lieng lae dae,形容做事沒有氣魄，斷斷續續,,,,
但微,dae uei,稍微,,,,
但微,dae uei,只要,～是個人就做不下這事。,,,
單另,dae lieng,單獨,,,,
打對,da duai,在安排工作，佈置任務時加以照顧，或給予特殊待遇,～的喫飯嘞。,,,
等都,deng du,開始動手做,,,,
等都,deng du,做示範動作,你給乃～一下。,,,
打拗勁,da ngau jieng,專門和人過不去,,"動詞,",,
打掐,da qiaq,農作物去除不需要的部位,,,,
打掐,da qiaq,引申爲對人的打擊,乃家爹的逝跡了，對乃的～可厲害嘞。,,,
多大,doa dai,多少,今天開會來了～人？,,,
